CODLOC,NOMLOC,NOMALTER,codigo_provincia_id
60476,"Las Carabelas",NULL,6
60478,"General Guido",NULL,6
60480,"Villa Alsina","Est. Alsina , Alsina",6
60482,"La Violeta",NULL,6
60484,"Mariano H. Alfonzo","Est. San Patricio, Mariano H. Alfonzo",6
60486,"Inés Indart",NULL,6
60488,"Rio Tala",NULL,6
60490,"Villa Francia","Est. Cnel. Granada, Cnel Granada, General Granada",6
60492,"Manuel Ocampo",NULL,6
60494,Pipinas,NULL,6
60496,"El Perdido","Est. José A. Guisasola, José A. Guisasola",6
60498,Claromecó,NULL,6
60500,"Rafael Obligado",Echeverría,6
60502,"Coronel Martínez de Hoz","Martínez de Hoz, Ap. km 322",6
60504,"Villa General Savio","Est. Sánchez, Sánchez",6
60508,Espartillar,NULL,6
60510,"Del Valle",NULL,6
60512,"Villa Ortiz","Coronel Mom, Est. Coronel Mom",6
60514,"Colonia Hinojo",NULL,6
60516,"Coronel Marcos Paz","Est. Agustín Roca; Agustín Roca",6
60518,Bordenave,NULL,6
60520,Berutti,NULL,6
60522,Viboratá,NULL,6
60524,Uribelarrea,NULL,6
60526,"Villa Lía",NULL,6
60528,"Juan Anchorena",NULL,6
60530,"Villa Arrieta",NULL,6
60532,Patricios,NULL,6
60534,"Colonia San Ricardo","Est. Iriarte, Iriarte",6
60536,"Fortín Olavarría",NULL,6
60538,"General Conesa",NULL,6
60540,Solís,NULL,6
60542,"Alejandro Petion",NULL,6
60544,Villars,NULL,6
60546,"Manuel B. Gonnet","Est. French, French",6
60548,"La Colina",NULL,6
60550,"Barrio La Gloria",NULL,6
60552,Claraz,NULL,6
60554,"Felipe Solá",NULL,6
60556,"Colonia Casal","Estación Cañada Seca",6
60558,Guerrico,NULL,6
60560,"Comodoro Py",NULL,6
60562,Blaquier,NULL,6
60564,Todd,"Est. Todd",6
60566,Garré,NULL,6
60568,"San Francisco de Bellocq",NULL,6
60570,"Micaela Cascallares","Est. Cascallares",6
60572,Goyena,NULL,6
60574,"Carlos M . Naón",NULL,6
60576,"Colonia Seré",NULL,6
60578,"Ramón Santamarina",NULL,6
60580,Gahan,NULL,6
60582,Bayauca,NULL,6
60584,"Vicente Casares",NULL,6
60586,"Villa Sauze","Villa Sauce, Luis A. Sauce",6
60588,Rancagua,NULL,6
60590,Quenumá,NULL,6
60592,"Salvador María",NULL,6
60594,"Villa Preceptor Manuel Cruz",NULL,6
60596,"Villa Moll","Est. Moll, Moll",6
60598,"Colonia San Miguel",NULL,6
60600,"Gobernador Ugarte",NULL,6
60602,"Santa Regina",NULL,6
60604,Timote,NULL,6
60606,"La Aurora","Est. La Niña, La Niña",6
60608,Duggan,"Est. Duggan",6
60610,"Barrio El Remanso-Los Pinos",NULL,6
60612,"San Agustín",NULL,6
60614,"Las Marianas",NULL,6
60616,Villanueva,"Villa Nueva",6
60620,"Colonia San Miguel Arcángel","Colonia Santa Mariana",6
60621,"Mar del Tuyú",NULL,6
60622,"Costa del Este",NULL,6
60623,"Aguas Verdes",NULL,6
60626,"Nueva Atlantis",NULL,6
60627,Montecarlo,NULL,6
60628,Ostende,NULL,6
60629,"Valeria del Mar",NULL,6
60630,Cariló,NULL,6
60631,"Mar de las Pampas",NULL,6
60632,"Mar Azul",NULL,6
60634,Invernadas,NULL,6
60635,Juancho,NULL,6
60636,Macedo,NULL,6
60637,"Santo Domingo",NULL,6
60638,"Las Armas",NULL,6
60639,Segurola,NULL,6
60640,Monsalvo,NULL,6
60641,Parravicini,NULL,6
60642,"Esquina de Crotto",NULL,6
60643,Sevigne,NULL,6
60644,Guerrero,NULL,6
60645,"Cerro de la Gloria",NULL,6
60646,Adela,NULL,6
60647,Monasterio,NULL,6
60648,"Paraje Destino",NULL,6
60649,Gándara,NULL,6
60650,"Don Cipriano",NULL,6
60651,"Pedro Nicolás Escribano",NULL,6
60652,"Comandante Giribone",NULL,6
60653,"Libres del Sud",NULL,6
60654,"Atilio Pessagno",NULL,6
60655,"Juan Arditi",NULL,6
60656,"Roberto Payró",NULL,6
60657,Vieytes,NULL,6
60658,"Alvarez Jonte",NULL,6
60659,"Las Tahonas",NULL,6
60660,"Monte Veloz",NULL,6
60661,Vergara,NULL,6
60662,"José Ferrari",NULL,6
60663,"Punta Indio",NULL,6
60664,Atalaya,NULL,6
60665,"Real Audiencia",NULL,6
60666,Casalins,NULL,6
60667,Chás,NULL,6
60668,Ibañez,NULL,6
60669,Newton,NULL,6
60670,"La Chumbiada",NULL,6
60671,Gorchs,NULL,6
60672,Alegre,NULL,6
60674,"Zenón Videla Dorna",NULL,6
60675,Abbott,NULL,6
60676,"Francisco A. Berra",NULL,6
60677,"Apeadero Funke",NULL,6
60678,"Plaza Montero",NULL,6
60679,Rosas,NULL,6
60680,"Coronel Boerr",NULL,6
60681,Vilela,NULL,6
60683,"El Trigo",NULL,6
60684,Estrugamou,NULL,6
60685,"Doctor Domingo Harosteguy",NULL,6
60686,Pardo,NULL,6
60687,"Paraje El Chalar",NULL,6
60688,"Paraje El Gualicho",NULL,6
60689,"Martín Colman",NULL,6
60690,Miranda,NULL,6
60691,Chapaleufú,NULL,6
60692,Egaña,NULL,6
60693,Solanet,NULL,6
60694,Langueyú,NULL,6
60695,Udaquiola,NULL,6
60696,"La Constancia"," Ap. Kilómetro 360",6
60697,Cangallo,NULL,6
60698,"San Ignacio",NULL,6
60699,Fair,NULL,6
60700,Labardén,NULL,6
60701,"Nahuel Rucá",NULL,6
60702,Calfucurá,NULL,6
60703,"Mar Chiquita",NULL,6
60704,"Mar de Cobo",NULL,6
60705,Camet,"Est. Camet",6
60707,"Sierra de los Padres",NULL,6
60708,Valdés,NULL,6
60709,Cobo,NULL,6
60710,Yraizoz,NULL,6
60711,"Mar del Sur","Boulevard Atlántico",6
60712,"Los Pinos",NULL,6
60713,"El Faro",NULL,6
60714,Napaleofú,NULL,6
60715,"Ramos Otero",NULL,6
60716,Bosch,NULL,6
60717,Fulton,NULL,6
60718,"Desvío Aguirre",NULL,6
60719,Iraola,NULL,6
60720,Azucena,NULL,6
60721,Gardey,NULL,6
60722,"La Pastora",NULL,6
60723,"De la Canal",NULL,6
60724,Tamangueyú,NULL,6
60725,"El Moro",NULL,6
60726,"Las Nutrias",NULL,6
60727,Pieres,NULL,6
60728,"Paraje El Pampero",NULL,6
60729,"Dos Naciones",NULL,6
60730,"El Lenguaraz",NULL,6
60731,"Licenciado Matienzo",NULL,6
60732,Quequén,NULL,6
60733,"Balneario Costa Bonita","Costa Bonita",6
60734,"Las Grutas",NULL,6
60735,"Balneario Los Angeles",NULL,6
60736,"San José",NULL,6
60737,"La Negra",NULL,6
60738,Defferrari,NULL,6
60739,Lumb,NULL,6
60740,Energía,NULL,6
60741,"Cristiano Muerto",NULL,6
60742,"Balneario San Cayetano",NULL,6
60743,Ochandio,NULL,6
60744,López,NULL,6
60745,"Tedín Uriburu",NULL,6
60746,"Coronel Rodolfo Bunge","Est. Benito Juárez, Juárez",6
60747,"El Luchador",NULL,6
60748,"Mariano Roldán",NULL,6
60749,Lazzarino,NULL,6
60750,Miramonte,NULL,6
60751,Parish,NULL,6
60752,"Vicente Pereda",NULL,6
60753,Ariel,NULL,6
60754,"Pablo Acosta",NULL,6
60755,"Martín Fierro",NULL,6
60756,"16 de Julio",NULL,6
60757,Nieves,NULL,6
60758,Crotto,NULL,6
60759,Altona,"Estación Altona",6
60760,"Eufemio Uballes",NULL,6
60761,"San Bernardo",NULL,6
60762,Yerbas,NULL,6
60763,Covello,NULL,6
60764,Velloso,NULL,6
60765,"José María Micheo",NULL,6
60766,"El Parche",NULL,6
60767,Emma,NULL,6
60768,"La Campana",NULL,6
60769,"Juan Blaquier",NULL,6
60770,Polvaredas,NULL,6
60771,"Alvarez de Toledo",NULL,6
60772,Cazón,NULL,6
60773,"Carlos Keen",NULL,6
60774,"Emiliano Reynoso",NULL,6
60775,"San Benito",NULL,6
60776,"La Barrancosa",NULL,6
60777,"El Mangrullo",NULL,6
60778,"Juan Tronconi",NULL,6
60779,"Carlos Beguerie",NULL,6
60780,"Santiago Larre",NULL,6
60781,"La Reforma",NULL,6
60782,"Juan Atucha",NULL,6
60783,"Antonio Carboni",NULL,6
60784,Elvira,NULL,6
60785,"José Santos Arévalo","José S. Arévalo Menchaca",6
60786,"Enrique Fynn",NULL,6
60787,"La Choza",NULL,6
60788,Anasagasti,NULL,6
60789,"González Risos",NULL,6
60790,"Ingeniero Williams",NULL,6
60791,"Juan José Almeyra",NULL,6
60793,"La Rica",NULL,6
60794,"San Sebastián",NULL,6
60795,"Henry Bell",NULL,6
60796,Indacochea,NULL,6
60797,Benítez,NULL,6
60798,"Palemón Huergo",NULL,6
